char,category,mse,endpoint_deviation
A,Uppercase,0.00692,0.10199
B,Uppercase,0.009334,0.120905
C,Uppercase,0.003715,0.079347
D,Uppercase,0.018107,0.16813
E,Uppercase,0.006424,0.084169
F,Uppercase,0.004601,0.081944
G,Uppercase,0.000889,0.040253
H,Uppercase,0.006385,0.099104
I,Uppercase,0.002699,0.057827
J,Uppercase,0.001684,0.057795
K,Uppercase,0.002126,0.060101
L,Uppercase,0.000184,0.01553
M,Uppercase,0.006287,0.108104
N,Uppercase,0.002988,0.07696
O,Uppercase,0.001907,0.060377
P,Uppercase,0.01084,0.129416
Q,Uppercase,0.004561,0.09351
R,Uppercase,0.003136,0.071735
S,Uppercase,0.004017,0.082353
T,Uppercase,0.00872,0.114054
U,Uppercase,0.001221,0.047597
V,Uppercase,0.001445,0.043183
W,Uppercase,0.005552,0.102329
X,Uppercase,0.003242,0.071903
Y,Uppercase,0.002566,0.057735
Z,Uppercase,0.001806,0.059937
a,Lowercase,0.006101,0.098776
b,Lowercase,0.009262,0.108851
c,Lowercase,0.00219,0.064659
d,Lowercase,0.004149,0.085147
e,Lowercase,0.016557,0.146488
f,Lowercase,0.001948,0.049537
g,Lowercase,0.005099,0.086469
h,Lowercase,0.004031,0.073154
i,Lowercase,0.000277,0.022053
j,Lowercase,0.000472,0.026522
k,Lowercase,0.002477,0.052721
l,Lowercase,0.000572,0.02981
m,Lowercase,0.005005,0.084529
n,Lowercase,0.006193,0.100401
o,Lowercase,0.000767,0.034322
p,Lowercase,0.004772,0.081498
q,Lowercase,0.004158,0.080306
r,Lowercase,0.007031,0.091915
s,Lowercase,0.003955,0.081654
t,Lowercase,0.002423,0.059139
u,Lowercase,0.002523,0.057987
v,Lowercase,0.000587,0.028362
w,Lowercase,0.003839,0.084252
x,Lowercase,0.004631,0.081063
y,Lowercase,0.007456,0.107662
z,Lowercase,0.002323,0.053367
0,Digit,0.001087,0.043039
1,Digit,0.001,0.03917
2,Digit,0.004444,0.080586
3,Digit,0.001084,0.039661
4,Digit,0.001843,0.05252
5,Digit,0.000986,0.034397
6,Digit,0.000508,0.030586
7,Digit,0.005713,0.093588
8,Digit,0.003539,0.067462
9,Digit,0.011343,0.125581
